Box [height=10.0, width=10.0, weight=350.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=350.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=350.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=350.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=350.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=350.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=350.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=350.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=350.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=350.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=135.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=135.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=135.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=135.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=135.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=135.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=135.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=135.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=135.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=135.0, danger=true, color=YELLOW]
Box [height=30.0, width=10.0, weight=90.0, danger=true, color=YELLOW]
Box [height=30.0, width=10.0, weight=90.0, danger=true, color=YELLOW]
Box [height=30.0, width=10.0, weight=90.0, danger=true, color=YELLOW]
Box [height=30.0, width=10.0, weight=90.0, danger=true, color=YELLOW]
Box [height=30.0, width=10.0, weight=90.0, danger=true, color=YELLOW]
Box [height=30.0, width=10.0, weight=90.0, danger=true, color=YELLOW]
Box [height=30.0, width=10.0, weight=90.0, danger=true, color=YELLOW]
Box [height=30.0, width=10.0, weight=90.0, danger=true, color=YELLOW]
Box [height=30.0, width=10.0, weight=90.0, danger=true, color=YELLOW]
Box [height=30.0, width=10.0, weight=90.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=60.0, danger=false, color=YELLOW]
Box [height=10.0, width=10.0, weight=60.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=60.0, danger=false, color=YELLOW]
Box [height=75.0, width=10.0, weight=60.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=60.0, danger=false, color=YELLOW]
Box [height=10.0, width=10.0, weight=60.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=60.0, danger=false, color=YELLOW]
Box [height=75.0, width=10.0, weight=60.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=60.0, danger=false, color=YELLOW]
Box [height=10.0, width=10.0, weight=60.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=60.0, danger=false, color=YELLOW]
Box [height=75.0, width=10.0, weight=60.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=60.0, danger=false, color=YELLOW]
Box [height=10.0, width=10.0, weight=60.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=60.0, danger=false, color=YELLOW]
Box [height=75.0, width=10.0, weight=60.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=60.0, danger=false, color=YELLOW]
Box [height=10.0, width=10.0, weight=60.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=60.0, danger=false, color=YELLOW]
Box [height=75.0, width=10.0, weight=60.0, danger=true, color=YELLOW]
Box [height=75.0, width=10.0, weight=60.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=36.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=36.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=36.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=36.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=36.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=36.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=36.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=36.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=36.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=36.0, danger=true, color=YELLOW]
Box [height=11.0, width=10.0, weight=35.0, danger=true, color=YELLOW]
Box [height=12.0, width=10.0, weight=35.0, danger=false, color=YELLOW]
Box [height=19.0, width=10.0, weight=35.0, danger=true, color=YELLOW]
Box [height=10.0, width=101.0, weight=35.0, danger=false, color=YELLOW]
Box [height=10.0, width=10.0, weight=35.0, danger=false, color=YELLOW]
Box [height=10.0, width=10.0, weight=35.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=35.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=35.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=35.0, danger=false, color=YELLOW]
Box [height=11.2, width=10.2, weight=35.0, danger=false, color=YELLOW]
Box [height=10.0, width=10.0, weight=35.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=35.0, danger=true, color=YELLOW]
Box [height=10.0, width=7.2, weight=35.0, danger=false, color=YELLOW]
Box [height=10.0, width=10.0, weight=35.0, danger=false, color=YELLOW]
Box [height=10.0, width=10.0, weight=35.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=35.0, danger=false, color=YELLOW]
Box [height=25.3, width=7.2, weight=35.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=35.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=35.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=35.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=35.0, danger=false, color=YELLOW]
Box [height=10.0, width=10.0, weight=35.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=35.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=35.0, danger=false, color=YELLOW]
Box [height=10.0, width=10.0, weight=35.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=35.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=35.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=35.0, danger=false, color=YELLOW]
Box [height=10.0, width=10.0, weight=35.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=35.0, danger=true, color=YELLOW]
Box [height=30.0, width=10.0, weight=35.0, danger=true, color=YELLOW]
Box [height=30.0, width=10.0, weight=35.0, danger=false, color=YELLOW]
Box [height=30.0, width=10.0, weight=35.0, danger=true, color=YELLOW]
Box [height=30.0, width=10.0, weight=35.0, danger=true, color=YELLOW]
Box [height=30.0, width=10.0, weight=35.0, danger=true, color=YELLOW]
Box [height=30.0, width=10.0, weight=35.0, danger=false, color=YELLOW]
Box [height=10.0, width=10.0, weight=35.0, danger=true, color=YELLOW]
Box [height=30.0, width=10.0, weight=35.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=35.0, danger=false, color=YELLOW]
Box [height=30.0, width=10.0, weight=35.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=35.0, danger=true, color=YELLOW]
Box [height=30.0, width=10.0, weight=35.0, danger=false, color=YELLOW]
Box [height=30.0, width=10.0, weight=35.0, danger=true, color=YELLOW]
Box [height=30.0, width=10.0, weight=35.0, danger=true, color=YELLOW]
Box [height=30.0, width=10.0, weight=35.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=35.0, danger=false, color=YELLOW]
Box [height=10.0, width=10.0, weight=35.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=35.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=35.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=35.0, danger=false, color=YELLOW]
Box [height=10.0, width=10.0, weight=35.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=35.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=35.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=35.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=35.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=35.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=35.0, danger=true, color=YELLOW]
Box [height=10.0, width=7.2, weight=35.0, danger=false, color=YELLOW]
Box [height=10.0, width=10.0, weight=35.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=35.0, danger=false, color=YELLOW]
Box [height=10.0, width=10.0, weight=35.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=35.0, danger=true, color=YELLOW]
Box [height=11.0, width=10.0, weight=35.0, danger=true, color=YELLOW]
Box [height=12.0, width=10.0, weight=35.0, danger=false, color=YELLOW]
Box [height=17.0, width=10.0, weight=35.0, danger=false, color=YELLOW]
Box [height=19.0, width=10.0, weight=35.0, danger=true, color=YELLOW]
Box [height=10.0, width=101.0, weight=35.0, danger=false, color=YELLOW]
Box [height=10.0, width=10.0, weight=35.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=35.0, danger=false, color=YELLOW]
Box [height=10.0, width=10.0, weight=35.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=35.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=35.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=35.0, danger=false, color=YELLOW]
Box [height=10.15, width=9.6, weight=35.0, danger=false, color=YELLOW]
Box [height=10.0, width=10.0, weight=35.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=35.0, danger=true, color=YELLOW]
Box [height=15.9, width=10.14, weight=35.0, danger=false, color=YELLOW]
