Box [height=10.0, width=10.0, weight=1230.0, danger=true, color=BROWN]
Box [height=7.2, width=10.0, weight=1230.0, danger=true, color=BROWN]
Box [height=10.0, width=10.0, weight=1230.0, danger=true, color=BROWN]
Box [height=7.2, width=10.0, weight=1230.0, danger=true, color=BROWN]
Box [height=10.0, width=10.0, weight=1230.0, danger=true, color=BROWN]
Box [height=7.2, width=10.0, weight=1230.0, danger=true, color=BROWN]
Box [height=10.0, width=10.0, weight=1230.0, danger=true, color=BROWN]
Box [height=7.2, width=10.0, weight=1230.0, danger=true, color=BROWN]
Box [height=10.0, width=10.0, weight=1230.0, danger=true, color=BROWN]
Box [height=7.2, width=10.0, weight=1230.0, danger=true, color=BROWN]
Box [height=7.2, width=10.0, weight=1230.0, danger=true, color=BROWN]
Box [height=10.0, width=10.0, weight=1000.0, danger=true, color=BROWN]
Box [height=10.0, width=10.0, weight=1000.0, danger=true, color=BROWN]
Box [height=10.0, width=10.0, weight=1000.0, danger=true, color=BROWN]
Box [height=10.0, width=10.0, weight=1000.0, danger=true, color=BROWN]
Box [height=10.0, width=10.0, weight=1000.0, danger=true, color=BROWN]
Box [height=10.0, width=10.0, weight=1000.0, danger=true, color=BROWN]
Box [height=10.0, width=10.0, weight=1000.0, danger=true, color=BROWN]
Box [height=10.0, width=10.0, weight=1000.0, danger=true, color=BROWN]
Box [height=10.0, width=10.0, weight=1000.0, danger=true, color=BROWN]
Box [height=10.0, width=10.0, weight=1000.0, danger=true, color=BROWN]
Box [height=10.0, width=10.0, weight=1000.0, danger=true, color=BROWN]
Box [height=10.0, width=10.0, weight=855.0, danger=true, color=BROWN]
Box [height=10.0, width=10.0, weight=855.0, danger=true, color=BROWN]
Box [height=10.0, width=10.0, weight=855.0, danger=true, color=BROWN]
Box [height=10.0, width=10.0, weight=855.0, danger=true, color=BROWN]
Box [height=10.0, width=10.0, weight=855.0, danger=true, color=BROWN]
Box [height=10.0, width=10.0, weight=855.0, danger=true, color=BROWN]
Box [height=10.0, width=10.0, weight=855.0, danger=true, color=BROWN]
Box [height=10.0, width=10.0, weight=855.0, danger=true, color=BROWN]
Box [height=10.0, width=10.0, weight=855.0, danger=true, color=BROWN]
Box [height=10.0, width=10.0, weight=855.0, danger=true, color=BROWN]
Box [height=10.0, width=10.0, weight=855.0, danger=true, color=BROWN]
Box [height=10.0, width=10.0, weight=350.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=350.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=350.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=350.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=350.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=350.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=350.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=350.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=350.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=350.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=150.0, danger=true, color=BROWN]
Box [height=30.0, width=10.0, weight=150.0, danger=true, color=BROWN]
Box [height=10.0, width=10.0, weight=150.0, danger=true, color=BROWN]
Box [height=30.0, width=10.0, weight=150.0, danger=true, color=BROWN]
Box [height=10.0, width=10.0, weight=150.0, danger=true, color=BROWN]
Box [height=30.0, width=10.0, weight=150.0, danger=true, color=BROWN]
Box [height=10.0, width=10.0, weight=150.0, danger=true, color=BROWN]
