Box [height=10.0, width=10.0, weight=2.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=2.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=2.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=2.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=2.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=2.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=2.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=2.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=2.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=2.0, danger=true, color=YELLOW]
Box [height=17.0, width=10.0, weight=7.2, danger=false, color=YELLOW]
Box [height=10.0, width=10.0, weight=7.2, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=7.2, danger=true, color=BROWN]
Box [height=10.0, width=10.0, weight=7.2, danger=true, color=BROWN]
Box [height=10.0, width=10.0, weight=7.2, danger=true, color=YELLOW]
Box [height=17.0, width=10.0, weight=7.2, danger=false, color=YELLOW]
Box [height=10.0, width=10.0, weight=7.2, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=7.2, danger=true, color=BROWN]
Box [height=10.0, width=10.0, weight=7.2, danger=true, color=BROWN]
Box [height=10.0, width=10.0, weight=7.2, danger=true, color=YELLOW]
Box [height=17.0, width=10.0, weight=7.2, danger=false, color=YELLOW]
Box [height=10.0, width=10.0, weight=7.2, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=7.2, danger=true, color=BROWN]
Box [height=10.0, width=10.0, weight=7.2, danger=true, color=BROWN]
Box [height=10.0, width=10.0, weight=7.2, danger=true, color=YELLOW]
Box [height=17.0, width=10.0, weight=7.2, danger=false, color=YELLOW]
Box [height=10.0, width=10.0, weight=7.2, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=7.2, danger=true, color=BROWN]
Box [height=10.0, width=10.0, weight=7.2, danger=true, color=BROWN]
Box [height=10.0, width=10.0, weight=7.2, danger=true, color=YELLOW]
Box [height=17.0, width=10.0, weight=7.2, danger=false, color=YELLOW]
Box [height=10.0, width=10.0, weight=7.2, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=7.2, danger=true, color=BROWN]
Box [height=10.0, width=10.0, weight=7.2, danger=true, color=BROWN]
Box [height=10.0, width=10.0, weight=7.2, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=15.0, danger=true, color=BROWN]
Box [height=10.0, width=10.0, weight=15.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=15.0, danger=true, color=BROWN]
Box [height=10.0, width=10.0, weight=15.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=15.0, danger=true, color=BROWN]
Box [height=10.0, width=10.0, weight=15.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=15.0, danger=true, color=BROWN]
Box [height=10.0, width=10.0, weight=15.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=15.0, danger=true, color=BROWN]
Box [height=10.0, width=10.0, weight=15.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=15.0, danger=true, color=BROWN]
Box [height=10.0, width=10.0, weight=15.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=15.0, danger=true, color=BROWN]
Box [height=10.0, width=10.0, weight=15.0, danger=true, color=YELLOW]
Box [height=10.0, width=10.0, weight=15.0, danger=true, color=BROWN]
